"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","fitness","num-replicates","best-fitness-so-far"
"1","1","0.16","0.36","0.06","0.11","0.5700000000000001","0.3","0.18","0.72","0.5700000000000001","0.32","0.07","0.67","0.71","0.8","0.87","0.67","0.24","0.8200000000000001","0.67","0.8200000000000001","0.55","0.6","0.31","0.5","0.28","0.45","0.87","0.64","0.38","0.53","0.97","0.07","0.22","0.53","0.86","203","1","203"
"1","2","1","0.11","0.21","0.09","0.76","0","0.5","0.74","0.89","0.4","0.98","0.89","0.34","0.81","0.41000000000000003","0.9400000000000001","0.79","0.27","0.32","0.15","0.46","0.72","0.93","0.67","0.71","0.7000000000000001","0.12","0.92","0.79","0.07","0.5","0.6","0.85","0","0.61","203","1","203"
"1","3","0.43","0.53","0.75","0.08","0.2","0.64","0.03","0.41000000000000003","0.32","0.97","0.18","0.22","0.53","0.41000000000000003","0.9","0.07","0.65","0.04","0.6","0.71","0.38","0.67","0.01","0.54","0.6900000000000001","0.34","0.45","0.19","0.97","0.84","0.81","0.32","0.59","0.58","0.26","203","1","203"
"1","4","0.49","0.79","0.34","0.79","0.49","0.87","0.12","0.43","0.53","0.6","0.15","0.37","0.45","0.74","0.79","0.28","0.37","0.42","0.6","0.49","0.27","0.52","0.63","0.42","0.43","0.9","0","0.71","0.79","0.07","0.14","0.35000000000000003","0.84","0.17","0.89","203","1","203"
"1","5","0.8","0.53","0.5","0.34","0.15","0.37","0.78","0.52","0.11","0.08","0.29","0.45","0.23","0.39","0.72","0.45","0.39","0.86","0.8200000000000001","0.79","0.47000000000000003","0.26","0.52","0.81","0.67","0.55","0.75","0.41000000000000003","0.34","0","0.19","0.9","0.13","0.54","0.55","203","1","203"
"1","6","0.23","0.75","0.15","0.26","0.19","0.06","0.59","0.35000000000000003","0.93","0.37","0.19","0.11","0.63","0.72","0.75","0.46","0.45","0.74","0.28","0.49","0.47000000000000003","0.43","0.06","0.41000000000000003","0.46","0.58","0.27","0.28","0.3","0.45","0.34","0.67","0.73","0.92","0.19","203","1","203"
"1","7","0.66","0.88","0.36","0.3","0.59","0.8200000000000001","0.8200000000000001","0.8200000000000001","0.18","0.97","0.31","0.59","0.22","1","0.98","0.28","0.98","0.52","0.91","0.92","0.88","0.49","0.34","0.49","0.49","0.44","0.86","0.89","0.52","0.86","0.37","0.86","0.48","0.62","0.9400000000000001","203","1","203"
"1","8","0.6","0.36","0.8200000000000001","0.89","0.8","0.14","0.22","0.65","0.98","0.29","0.26","0.12","0.36","0.52","0.19","0.6","0.47000000000000003","0.47000000000000003","0.3","0.26","0.88","0.63","0.1","0.51","0.6","0.22","0.28","0.49","0.06","0.89","0.75","0.47000000000000003","0.1","0.8","0.9400000000000001","203","1","203"
"1","9","0.39","0.55","0.3","0.23","0.92","0.35000000000000003","0.23","0.25","0.8200000000000001","0.8200000000000001","0.96","0.6","0.78","0.08","0.4","0.48","0.45","0.89","0.56","0.19","0.56","0.98","0.37","0.11","0.09","0.55","0.49","0.14","0.04","0.49","0.39","0.48","0.75","0.3","0.44","203","1","203"
"1","10","0.68","0.61","0.02","0.34","0.31","0.9400000000000001","0.29","0.02","0.23","0.81","0.32","0.13","0.67","0.45","0.23","0.21","0.21","0.11","0.46","0.02","0.75","0.44","0.5700000000000001","0.91","0.9400000000000001","0.56","0.9","0.67","0.56","0.64","0.97","0.22","0.56","0.5700000000000001","0.41000000000000003","203","1","203"
"1","11","0.67","0.27","0.8","0.18","0.71","0.65","0.68","0.25","0.05","0.41000000000000003","0.06","0.81","0.8","0.37","0.2","0.14","0.22","0.79","0.2","0.96","0.73","0.19","0.79","0.9","0.37","0.41000000000000003","0.01","0.23","0.63","0.37","0.56","0.42","0.63","0.37","0.19","203","1","203"
"1","12","0.96","0.17","0.76","0.56","0.05","0.19","0.12","0.02","0.34","0.31","0.78","0.41000000000000003","0.63","0.9400000000000001","0.52","0.75","0.55","0.81","0.45","0.9400000000000001","0.05","0.72","0.63","0.58","0.5700000000000001","0.68","0.63","0.42","0.59","0.08","0.99","0.85","0.92","0.59","0.93","203","1","203"
"1","13","0.52","0.37","0.08","0.23","0.86","0.29","0.3","0.42","0.76","0.28","0.18","0.6","0.14","0.4","0.14","0.1","0.64","0.06","0.22","0.64","0.84","0.26","0.9","0.08","0.54","0.45","0.08","0.39","0.06","0.8200000000000001","0.19","0.87","0.26","0.5700000000000001","0.44","203","1","203"
"1","14","0.27","0.59","0.09","0.13","0.1","0.56","0.22","0.38","0.63","0.8200000000000001","0.8200000000000001","1","0.07","0.4","0.51","0.97","0.15","0.54","0.29","0.1","0.72","0.93","0.72","0.77","0.8200000000000001","0.86","0.03","0.46","0.6","0.15","0.64","0.97","0.09","0.37","0.89","203","1","203"
"1","15","0.34","0.43","0.98","0.26","0","0.9400000000000001","0.71","0.74","0.22","0.64","0.75","0.81","0.12","0.29","0.07","0.52","0.71","0.15","0.38","0.36","0.66","0.8300000000000001","0.75","0.34","0.7000000000000001","0.6","0.98","0.6","0.49","0.34","0.04","0.25","0.15","0.05","0.56","203","1","203"
"1","16","0.32","0.9400000000000001","0.33","0.51","0.03","0.92","0.45","0.79","0.14","0.22","0.65","0.56","0.43","0.17","0.92","0.96","0.3","0.8200000000000001","0.48","0.19","0.86","0.42","0.96","0.8","0.14","0.73","0.06","0.99","0.24","0.89","0.96","0.97","0.62","0.9","0.8200000000000001","203","1","203"
"1","17","0.74","0.24","0.11","0.55","0.26","0.08","0.88","0.68","0.46","0.11","0.11","0.07","0.49","0.15","0.96","0.97","0.61","0.77","0.8200000000000001","0.86","0.49","0.51","0.16","0.46","0.34","0.59","0.48","0","0.49","0.04","0.58","0.33","0.93","0.35000000000000003","0.64","203","1","203"
"1","18","0.58","0.46","0.16","0.11","0.9400000000000001","0.52","0.36","0.41000000000000003","0.75","0.07","0.34","0.58","0.78","0.27","0.9400000000000001","0.3","0.48","0.55","0.42","0.8200000000000001","0.67","0.45","0.43","0.28","0.64","0.75","0.39","0","0.96","0.14","0","0.7000000000000001","0.63","0.78","0.13","203","1","203"
"1","19","0.8300000000000001","0.63","0.67","0.53","0.71","0.3","0.13","0.81","0.84","0.12","0.9500000000000001","0.37","0.3","0","0.52","0.6","0.21","0.36","0.42","0.07","0.37","0.22","0.65","0.9400000000000001","0.31","0.52","0.22","0.77","0.15","0.49","0.17","0.3","0.79","0.93","0.71","203","1","203"
"1","20","0.9500000000000001","0.81","1","0.24","0.49","0.5","0.24","0.55","0.24","0.79","0.77","0.18","0.4","0.3","0.3","0.19","0.3","0","0.79","0.07","0.4","0.11","0.92","0.34","0.74","0.34","0.24","0.26","0.31","0.34","0.44","0.72","0","0.67","0.59","203","1","203"
"1","21","0.37","0.42","0.7000000000000001","0.72","0.6","0.17","0.33","0.03","0.9","0.08","0.11","0.26","0.16","0.51","0.64","0.19","0.17","0.22","0.54","0.13","0.15","0.46","0.45","0.49","0.66","0.29","0.01","0.9","0.05","0.09","0.48","0.65","0.5","0.9400000000000001","0.37","203","1","203"
"1","22","0.79","0.46","0.39","0.6","0.4","0.74","0.22","0.93","0.91","0.45","0.11","0.79","1","0.29","0.9500000000000001","0.25","0.97","0.59","0.96","0.8200000000000001","0.9","0.56","0.9","0.6","0.32","0.17","0.7000000000000001","0.27","0","0.87","0.75","0.26","0.8300000000000001","0.84","0.88","203","1","203"
"1","23","0.03","0.8200000000000001","0.16","0.92","0.8200000000000001","0.51","0.44","0.17","0.1","0.86","0.29","0.15","0.24","0.64","0.34","0.71","0.35000000000000003","0.52","0.92","0.96","0.34","0.23","0.63","0.8","0.6900000000000001","0.9400000000000001","0.76","0.47000000000000003","0.59","0.46","0.19","0.68","0.46","0.44","0.26","203","1","203"
"1","24","0.79","0.56","0.72","0.88","0.9","0","0.86","0.26","0.47000000000000003","0.38","0.3","0.36","1","0.04","0.15","0.71","0.75","0.88","0.87","0.6","0.92","0.25","0.11","0.56","0.56","0.96","0.4","0.17","0.32","0.58","0.76","0.72","0.52","0.37","0.78","203","1","203"
"1","25","0.71","0.29","0.64","0.26","0.29","0.52","0.59","0.58","0.45","0.68","0.48","0.56","0.26","0.6900000000000001","0.45","0.81","0.64","1","0.98","0.16","0.86","0.07","0.08","0.59","0.56","0.14","0.86","0.97","0.93","0.79","0.64","0.48","0.26","0.48","0.79","203","1","203"
"1","26","0.36","0.11","0.54","0.26","0.37","0.9","0.75","1","0.41000000000000003","0.97","0.42","0.3","0.21","0.37","0.46","0.03","0.47000000000000003","0.99","0.35000000000000003","0.65","0.4","0.76","0.12","0.52","0.39","0.92","0.18","0.67","0.41000000000000003","0.6900000000000001","0.05","0.8","0.18","0.11","0.84","203","1","203"
"1","27","0.32","0.85","0.04","0.99","0.39","0.06","0.53","0.3","0.22","0.3","0.73","0.9500000000000001","0.3","0.26","0.3","0.22","0.3","0.87","0.96","0.67","0.08","0.8","0.08","0.15","0.55","0.86","0.28","0.9400000000000001","0.39","0.24","0.51","0.58","0","0.25","0.26","203","1","203"
