"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","num-replicates","best-fitness-so-far"
"1","1","0.65","0.91","0.07","0.6","0.74","0.62","0.15","0.5","0.46","0.27","0.61","0.99","0.4","0.56","0.72","0.9500000000000001","0.32","0.3","0.85","0.92","0.35000000000000003","0.38","0.04","0.8200000000000001","0.17","0.37","0.8200000000000001","0.28","0.34","0.8","0.98","0.79","0.64","0.26","0.11","1","236"
"1","21","0.01","0.84","0.89","0.34","0.22","0.58","0.58","0.54","0.08","0.65","0.49","0.1","0.93","0.34","0.03","0.75","0.67","0.9","0.33","0.87","0.71","0.75","0.87","0.86","0.34","0.3","0.23","0.89","0.31","0.56","0.86","0.97","0.45","0.1","0.6","1","228"
"1","22","0.1","0.02","0.97","0.38","0.38","0.97","0.06","0.11","0","0.46","0.96","0.2","0.53","0.37","0.9","0.54","0.56","0.61","0.52","0.61","0.38","0.9500000000000001","0.9500000000000001","0.19","0.42","0.59","0.32","0.13","0.42","0.8","0.03","0.15","0.55","0.12","0.8300000000000001","1","223"
"1","371","0.81","0.19","0.01","0.19","0.11","0","0.08","0.5","0.31","0.18","0.56","0.9400000000000001","0.48","0.65","0.78","0.97","0.26","0.8200000000000001","0.66","0.67","0.28","0.84","0.34","0.37","0","0.15","0.78","0.58","0.08","0.6900000000000001","0.15","0.64","0.73","0.64","0.36","1","221"
"1","774","0.78","0.84","0.01","0.22","0.04","0.29","0.4","0.98","0","0.43","0.21","0.9","0.71","0.65","0.49","0.97","0.37","0","0.5","0.67","0.29","0.22","0.34","0.6900000000000001","0.03","0.86","0.46","0.63","0.09","0.93","0.41000000000000003","0.31","0.22","0.79","0.9400000000000001","1","217"
"1","987","0.77","0.91","0","0.26","0.05","0.29","0.55","0.98","0","0.35000000000000003","0.85","0.58","0.64","0.62","0.14","0.98","0.37","0","0.5","0.67","0.23","0.03","0.3","0.03","0.6","0.92","0.07","0.51","0.1","0.9","0.89","0.28","0.37","0.05","0.9400000000000001","1","216"
"1","1080","0.78","0.91","0","0.26","0.26","0.29","0.55","0.97","0","0.35000000000000003","0.84","0.58","0.67","0.62","0.14","0.9","0.37","0","0.5","0.68","0.2","0.03","0.01","0.03","0","0.36","0.71","0.77","0.14","0.6900000000000001","0.26","0.9500000000000001","0.47000000000000003","0.98","0.15","1","215"
"1","1491","0.78","0.9500000000000001","0.01","0.07","0.26","0.99","0.55","0.9","0.07","0.51","0.87","0","0.72","0.61","0.85","0.97","0.14","0","0.76","0.63","0.42","0.19","0.84","0.12","0","0.93","0.11","0.13","0.09","0.26","0.9400000000000001","0.6","0.11","0.9","0.9400000000000001","1","213"
"1","1749","0.49","0.07","0.01","0","0.25","0.01","0.52","0.59","0.71","0.14","0.86","0.34","0.87","0.6","0.86","0.66","0.18","0","0.61","0.91","0.45","0.26","0.67","0.15","0","0.67","0.8200000000000001","0.12","0.54","0.97","0.9500000000000001","0.05","0.38","0.9400000000000001","0.15","1","212"
"1","2227","0.14","0","0.01","0","0.25","0.63","0.27","0.65","0.7000000000000001","0.63","0.4","0.45","0.52","0.67","0.92","0.77","0.21","0","0.76","0.48","0.6","0.43","0.24","0.16","0.79","0.86","0.67","0.13","0.53","0.3","0.9500000000000001","0.05","0.36","0.9","0.55","1","202"
"1","2490","0.14","0","0","0","0.17","0.33","1","0.97","0.7000000000000001","0.32","0.55","0.45","0.52","0.71","0.91","0.77","0.21","0.79","0.84","0.48","0.03","0.43","0.24","0.47000000000000003","0.02","0.98","0.68","0.09","0.8200000000000001","0.06","0.22","0.64","1","0.03","0.61","1","201"
"1","2864","0.01","0","0","0.79","0.18","0.38","0.19","0.9400000000000001","0.06","0.32","0.54","0.19","0.8300000000000001","0.5","0.97","0.97","0.74","0.79","0.2","0.14","0.52","0.98","0.8300000000000001","0.02","0.39","0.99","0.04","0.48","0.52","0.01","0.8300000000000001","0.6","1","0.27","0.9","1","200"
